chemID	MTX_LRM	MTX_MIX1	MTX_MIX2	csDMARD_LRM	csDMARD_MIX1	csDMARD_MIX2	TNFi_LRM	TNFi_MIX1	TNFi_MIX2	nTNFi_LRM	nTNFi_MIX1	nTNFi_MIX2	pred_LRM	pred_MIX1	pred_MIX2
407	0.170437287040964	0.665585627029874	0.740525904418737	0.0117446972683018	0.151655775618232	0.18776513439782	0.333755259475324	0.405226752549349	0.367549300771214	0.0050341716921199	0.0291968066059622	0.0348117775823789	0.315282099052673	0.940312945950271	0.930573907193585	
100021374	0.488662533256833	0.604712674473693	0.460685995187597	0.641452274291863	0.603020353754176	0.517780476883652	0.872308432893448	0.947423921758521	0.62673718776319	0.0330405763740954	0.0519643292612516	0.025164500323709	0.226856760024967	0.737035164378067	0.845680845533503	
100020204	0.266684761220677	0.728529083260925	0.825316320926805	0.762218788915998	0.93255333951875	0.960396946405377	0.0623869935423521	0.400545918779023	0.445563964013423	0.761907081679878	0.616656119225592	0.703391518507235	0.76926075147663	0.602505037539677	0.770665018814921	
100020423	0.0961980971169076	0.216971434549556	0.164262745574912	0.266872438558091	0.136964923385823	0.159443377309426	0.0183272859515006	0.0444463461637195	0.0901579782826847	0.00420340851189107	0.0328736035474991	0.03414261727702	0.897738050506441	0.531524047176187	0.661962786478352	
100003397	0.475474792943642	0.476317156103374	0.523533103084936	0.681453569785347	0.587472813764696	0.769299310538927	0.930096339806827	0.810200201976188	0.570572156370929	0.760853674765764	0.796923126555779	0.731596721098	0.673076658439031	0.782069465582034	0.455186852873765	
100002488	0.908724349222456	0.845333924881975	0.777206536516833	0.456257294620129	0.650269510185679	0.640883157486459	0.687521034642744	0.627771993036192	0.561755485017442	0.271048460677291	0.918022040198335	0.997062184401105	0.7208342441064	0.504877282719234	0.46884417530015	
100015838	0.0103131556619713	0.0196628985501132	0.00645571080940567	0.159782516604628	0.571570891217238	0.707994821146778	0.970621846510301	0.632274442147277	0.485618189998445	0.21005265322591	0.270583740408787	0.169119709533299	0.175559514783971	0.560503615560411	0.857439717865163	
250	0.651308415880946	0.584481231112727	0.335611603692596	0.757155468643168	0.811140242323209	0.636121742993779	0.3373489890879	0.650567613275936	0.594082595490109	0.400875600915443	0.475160132822352	0.698375607238944	0.676527210381211	0.309412858376754	0.14429269354709	
100001391	0.0258922379903891	0.0609962898234193	0.0166112608233567	0.284516163946855	0.615214000569984	0.792384725776961	0.245709052474031	0.353049697181174	0.219446243042896	0.866477957464412	0.749971257448925	0.543648738747195	0.796752101346134	0.928397479770597	0.538320783168872	
1442	0.214112824007085	0.292648191909928	0.552176392225795	0.00884180794848097	0.0203591895246437	0.0356681360945394	0.970247344789963	0.66062614890485	0.706857873900457	0.781818633862085	0.412373847655428	0.904888515589077	0.283159450819145	0.119571096797529	0.353589692167862	
100003892	0.976205980118585	0.951767273514235	0.951746320450362	0.025978284653647	0.057636743144535	0.0670272764206833	0.0123122286935817	0.0351718658570612	0.0887743898051521	0.344555496846724	0.473034159228626	0.530159363626746	0.354068173670171	0.360247271736456	0.236606088783142	
100000042	0.447181246772383	0.449117109215221	0.494932378697063	0.529961437757313	0.531193360856039	0.559933087685438	0.658883292857335	0.670915726478495	0.852912819291006	0.946616335747878	0.929042572335611	0.85122394765068	0.199145546691901	0.202116036120763	0.167479096249285	
100015831	0.0268740218966972	0.052279266601872	0.0250720154093878	0.0509002201917994	0.0559850027178656	0.0509390361680871	0.184728520042952	0.395849165206911	0.582247154736074	0.283218977749588	0.471933149173848	0.329699526476449	0.173393073137602	0.0497649444535968	0.045703170782364	
100020414	0.119722837001257	0.291485609520753	0.254923489746274	0.282826172098188	0.229403839861579	0.21282007379934	0.120857009769884	0.75233752731304	0.714504306612415	0.497733384155815	0.954070630888812	0.994587276158224	0.241086611932831	0.539897433779388	0.593397461838837	
572	0.076252877795772	0.396459164864152	0.531144002759158	0.757682064450548	0.351722226392116	0.315677125335054	0.106011077878199	0.349428946221488	0.46126065507987	1.16314328723566e-06	0.000404518257378452	0.000921748956127621	0.269885891728749	0.957073144786126	0.882318870243444	
338	0.335707785812132	0.7486968952827	0.930002851682039	0.905271928059445	0.0919293961211998	0.083838060662016	0.0228125221194465	0.831537717080074	0.977330815255444	6.64546954192665e-06	0.0358038086894539	0.0542542695494524	0.239799385725656	0.731292725222916	0.715149638004908	
1087	0.512831928667243	0.512831928667292	0.540066853986073	0.181482337336713	0.181482337336782	0.181757346842145	0.452518217609201	0.452518217609191	0.398472998194669	0.822895060359582	0.822895060359583	0.783043921161505	0.100958836231817	0.100958836231827	0.0968769600188779	
